first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose,Gender
2020/3/29,2020/4/4,70-74,נקבה,608,62,<15,,,,,female
2020/3/29,2020/4/4,75-79,זכר,366,51,<15,,,,,male
2020/3/29,2020/4/4,75-79,נקבה,343,35,0,,,,,female
2020/3/29,2020/4/4,75-79,לא ידוע,0,0,0,,,,,unknown
2020/3/29,2020/4/4,80+,זכר,770,75,<15,,,,,male
2020/3/29,2020/4/4,80+,נקבה,1051,97,<15,,,,,female
2020/3/29,2020/4/4,80+,לא ידוע,<15,0,0,,,,,unknown
2020/3/29,2020/4/4,NULL,זכר,512,23,0,,,,,male
2020/3/29,2020/4/4,NULL,לא ידוע,86,<15,0,,,,,unknown
2020/3/29,2020/4/4,NULL,נקבה,503,15,0,,,,,female
2020/4/5,2020/4/11,0-19,זכר,3575,385,0,,,,,male
2020/4/5,2020/4/11,0-19,לא ידוע,<15,<15,0,,,,,unknown
2020/4/5,2020/4/11,0-19,נקבה,2701,274,0,,,,,female
2020/4/5,2020/4/11,20-24,זכר,2919,205,0,,,,,male
2020/4/5,2020/4/11,20-24,לא ידוע,<15,<15,0,,,,,unknown
2020/4/5,2020/4/11,20-24,נקבה,2751,176,0,,,,,female
2020/4/5,2020/4/11,25-29,זכר,2373,140,0,,,,,male
2020/4/5,2020/4/11,25-29,נקבה,2117,112,0,,,,,female
2020/4/5,2020/4/11,25-29,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,30-34,זכר,2069,94,0,,,,,male
2020/4/5,2020/4/11,30-34,נקבה,1746,74,0,,,,,female
2020/4/5,2020/4/11,30-34,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,35-39,זכר,1651,71,<15,,,,,male
2020/4/5,2020/4/11,35-39,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,35-39,נקבה,1513,74,0,,,,,female
2020/4/5,2020/4/11,40-44,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,40-44,נקבה,1433,79,0,,,,,female
2020/4/5,2020/4/11,40-44,זכר,1418,83,0,,,,,male
2020/4/5,2020/4/11,45-49,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,45-49,נקבה,1505,91,0,,,,,female
2020/4/5,2020/4/11,45-49,זכר,1366,88,0,,,,,male
2020/4/5,2020/4/11,50-54,זכר,1190,68,0,,,,,male
2020/4/5,2020/4/11,50-54,נקבה,1387,84,<15,,,,,female
2020/4/5,2020/4/11,50-54,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,55-59,זכר,1130,76,0,,,,,male
2020/4/5,2020/4/11,55-59,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,55-59,נקבה,1247,73,0,,,,,female
2020/4/5,2020/4/11,60-64,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,60-64,זכר,986,68,<15,,,,,male
2020/4/5,2020/4/11,60-64,נקבה,989,51,<15,,,,,female
2020/4/5,2020/4/11,65-69,נקבה,759,47,<15,,,,,female
2020/4/5,2020/4/11,65-69,זכר,790,63,<15,,,,,male
2020/4/5,2020/4/11,65-69,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,70-74,לא ידוע,<15,0,0,,,,,unknown
2020/4/5,2020/4/11,70-74,זכר,618,32,<15,,,,,male
2020/4/5,2020/4/11,70-74,נקבה,597,36,<15,,,,,female
2020/4/5,2020/4/11,75-79,זכר,386,19,<15,,,,,male
2020/4/5,2020/4/11,75-79,נקבה,460,30,<15,,,,,female
2020/4/5,2020/4/11,75-79,לא ידוע,0,0,0,,,,,unknown
2020/4/5,2020/4/11,80+,זכר,884,45,<15,,,,,male
2020/4/5,2020/4/11,80+,נקבה,1727,95,25,,,,,female
2020/4/5,2020/4/11,80+,לא ידוע,0,0,0,,,,,unknown
2020/4/5,2020/4/11,NULL,זכר,507,26,0,,,,,male
